charityid,charityCategory,title,mission
org10256.htm,Human Services : Social Services,Baby Buggy,"Baby Buggy is dedicated to providing America's most vulnerable families with essential equipment, clothing, and products for their children ages 0-12 with the goal of improving their safety, health and well-being. Since 2001, Baby Buggy has delivered over 6.5 million essential items to hundreds of thousands of children in need. Donations are made to families who are enrolled in proven anti-poverty programs like Nurse-Family Partnership, Harlem Children's Zone and Early Head Start across the country. As such, Baby Buggy can provide for the immediate needs of a parents while they get the supported needed to help build their families' security over the long-term. A key initiative in 2014 is our Fatherhood Initiative, which provides donations to 13 fatherhood programs in NYC and LA. Baby Buggy donates critical items such as strollers and diapers to dads enrolled in 14 week programs that provide support with job training, counseling, education on child development and more.  "
org7670.htm,Human Services : Social Services,William Byrd Community House,"MissionWe provide high quality educational, developmental and nutritional programs to children in the City of Richmond so they are academically, socially and emotionally prepared to succeed in school and in life.VisionWe know that healthy children who are reading at grade level when they enter third grade are more likely to succeed in school and go on to become productive, contributing members of their communities. It is our vision to create an environment for Richmond's children where reading is always an adventure, healthy eating is a way of life, and the child's family is an integral part of the education process. "
org3389.htm,Community Development : Fundraising,Broadway Cares/Equity Fights AIDS,"Broadway Cares/Equity Fights AIDS (BC/EFA) is one of the nation's leading industry-based, nonprofit AIDS fundraising and grant making organizations. By drawing upon the talents, resources, and generosity of the American theatre community, since 1988 BC/EFA has raised over $195 million for essential services for people with AIDS and other critical illnesses across the United States.   BC/EFA is the major supporter of seven programs at The Actors' Fund, including The HIV/AIDS Initiative, The Phyllis Newman Women's Health Initiative, The Al Hirschfeld Free Health Clinic and more.  BC/EFA also awards annual grants to more than 400 AIDS and family service organizations nationwide. "
org11377.htm,Human Services : Multipurpose Human Service Organizations,YMCA of Long Island,"For more than 150 years, the YMCA of Long Island has provided innovative, quality programs that strengthen families, aid in the healthy development of children, encourage positive individual behavior and contribute to a healthier, safer community for all. Through a variety of programs, including child care, camping, sports, swimming lessons, teen leadership development, senior programs, family activities, health and wellness classes, and more, we build character by emphasizing the core values of caring, honesty, respect, responsibility, fun and friendship. "
org6112.htm,Community Development : Fundraising,Jewish Federation of Greater Dayton,"In 1910, the Dayton Jewish community named six health and welfare agencies as its beneficiaries, establishing what is now the Jewish Federation of Greater Dayton. Today, the Jewish Federation of Greater Dayton is the central organization established to further the welfare of the Jewish community. The Federation coordinates social, welfare and cultural programs; fosters cooperation among Jewish organizations; facilitates fund-raising activities on the local and national level; and stimulates participation and interest in community-wide activities. The Jewish Federation of Greater Dayton enriches and sustains Jewish life in Dayton and around the world through its social service, cultural, educational, recreational, fund-raising and planning programs. "
org7203.htm,Community Development : Housing and Neighborhood Development,Atlanta Habitat for Humanity,"Founded in 1983, Atlanta Habitat for Humanity partners with working families, sponsors and communities to build affordable quality homes and to provide support services that promote successful home purchase and ownership. Atlanta Habitat has built and renovated over 1,300 homes - primarily in the City of Atlanta & Fulton County, housing over 5,000 individual family members. Atlanta Habitat homes are constructed using green building standards, producing energy-efficient homes that reduce utility bills. Homeownership applicants complete a rigorous selection process including: Investing 250 sweat equity hours building his/her home & others, making an affordable down payment, attending 12 homeowner education classes, leasing the home for the 1st year, & making timely payments during the lease period. They must prove steady income, show good credit, be first time homebuyers, sustain a savings account over 6 months, be citizens or legal residents and live or work in Atlanta or Fulton Co. "
org10496.htm,Community Development : Fundraising,Kiddo,"Kiddo! is made up of parents, teachers, business people, and active members of the community who, since 1982, have raised over $20 million to supplement our limited school budgets. We currently make a wealth of vital programs - including art, music, drama, poetry, dance, and technology - available to every child in our K-8 schools. Currently, the Mill Valley School District faces a difficult financial environment, with significant budget cuts from the state, increasing student enrollment and an economic downturn that limits property tax revenues. As the MVSD's main fundraising organization, Kiddo! is committed to raising the additional funds necessary to protect the quality education over 2,800 Mill Valley students receive. "
org12805.htm,Human Services : Children's and Family Services,Family Resources,"Since 1970, Family Resources has been the agency to turn to for crisis counseling, safe shelter and safe respite for runaway and homeless teens. We are committed to making a difference in the lives of those who need our help and have no where else to turn. Our mission is to strengthen families and build better communities by providing prevention, support and counseling to children, teens and families. We accomplish this through our belief and vision that every child should be safe, that every troubled teen deserves help, and that every family torn apart in crisis be given the opportunity to mend. "
org8664.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Boys & Girls Clubs of Springfield,"The primary mission of The Boys & Girls Clubs of Springfield is to enhance the quality of life for youth as participating members of a richly diverse society. With special concern for the disadvantaged, the Boys & Girls Club helps youth to help themselves realize their potential for growth and development. Basing its program on member and community involvement and a recognized role as spokesman for youth, the Boys & Girls Club is aware of the influences of the total environment and so provides youth with relevant, everyday various and diversified individual and group services. "
org13906.htm,Community Development : Fundraising,United Way of the Ohio Valley,"The mission of the United Way of the Ohio Valley is to unite the citizens of our partnership communities into an organized effort to provide funds to meet current and emerging human service needs that are best provided through the voluntary sector. The United Way of the Ohio Valley is a regional organization of people striving to advance the common good by focusing on Education, Income and Health. These are the building blocks for a good life - a quality education that leads to a stable job, enough income to support a family through retirement and good health. Our goal is to create long-lasting changes that prevent problems from happening in the first place. "
org7128.htm,Community Development : Housing and Neighborhood Development,Public Allies,"Public Allies, founded in 1992, links diverse young Americans who want to make a difference with nonprofit organizations in their communities who need them. In the process, we show young leaders how to turn their passion for making a difference into a viable career path. Public Allies is the leadership and human capital solution our diverse communities need. Our mission is to advance new leadership to strengthen communities, nonprofits and civic participation. Since 1992, Public Allies has grown to 21 communities and graduated more than 4,000 diverse Allies committed to a lifetime of nonprofit and community service. "
org13348.htm,Human Services : Social Services,"Catholic Charities, Diocese of St. Petersburg","Catholic Charities, Diocese of St. Petersburg serves with charity and compassion to promote the sanctity and dignity of all people with God. As a member of Church, Catholic Charities offers hope by helping those in need and unites with others in service. During the FY 11/12, Catholic Charities provided services to over 14,500 individuals and families in five counties within the Diocese of St. Petersburg. The enormous task of providing services to children, adults, and families in need was accomplished by the hard work of a devoted staff, the support of dedicated volunteers, and the assistance of donors, benefactors and friends. "
org15572.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Sociedad Latina,"Since 1968, Sociedad Latina has worked in partnership with Latino youth and families to end destructive cycles of poverty, health inequities, and lack of educational and professional opportunities in our community. Through our Pathways to Success model we pioneer new and innovative solutions to the most pressing issues facing Latino youth today, supporting positive youth development from age 10-21, creating a community that supports young people, and training all youth to advocate for themselves and their communities. "
org9013.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Boys & Girls Clubs of Greater Memphis,"Since 1962, Boys & Girls Clubs of Greater Memphis has offered leadership and support to thousands of youth ages 6-18. Through one-to-one interaction with trained adult staff, Club members learn to make positive decisions about their lives. They do better in school, stay away from drugs and gangs and begin to set personal goals for themselves, which ultimately helps them be responsible citizens of our community. We inspire and enable all young people, especially those who need us the most, to realize their full potential as productive, responsible, caring citizens. "
org15219.htm,Human Services : Social Services,Yamhill Community Action Partnership,"Yamhill Community Action Partnership (YCAP), a private nonprofit organization serving residents of Yamhill County since 1980, is one of more than 1,000 community action agencies nationwide. These agencies were created to promote the health, education and general welfare of Americans in need. Our mission is to advocate for and assist persons toward self-sufficiency. YCAP serves many of these low-income residents, such as seniors and those with disabilities who struggle with fixed incomes, as well as individuals and families who are in low-wage positions or seeking employment, survivors of domestic violence, migrant families, homeless families and at-risk youth. "
org11243.htm,Human Services : Homeless Services,Massachusetts Coalition for the Homeless,"Founded in 1981, the Massachusetts Coalition for the Homeless (MCH) is committed to ensuring that everyone has a place to call home. MCH's policy work and programs address this issue on three fronts. First, the Coalition provides bridges over short-term crisis, helping homeless and at-risk people to relocate quickly into new housing or avoid homelessness altogether. Second, MCH works to ensure adequate and appropriate shelter if homelessness is unavoidable. Third, MCH advocates for long-term solutions to the housing crisis, promoting government support for income and housing resources so that all Massachusetts residents can obtain and maintain safe, affordable housing. As MCH works to address the causes, not just the symptoms of homelessness, it remains committed to creating opportunities for families and individuals to advocate for their own needs. "
org4632.htm,Community Development : Fundraising,United Way of Central Indiana,"Founded in 1918, United Way of Central Indiana helps sustain vital human services for those who need help most while reducing such needs for future generations. We help improve lives and build stronger communities through our support of innovative, practical and efficient human services programs and partners that address local needs. We assess community conditions and bring together the best resources in Central Indiana in order to provide help where it's needed most. United Way of Central Indiana supports the entire community, providing solutions that address today's needs and reduce tomorrow's. Our community priorities are sustaining vital human services for those who need help most, and helping kids enter school ready to learn and graduate ready to earn. "
org10046.htm,Human Services : Social Services,San Diego Second Chance Program,"San Diego Second Chance creates opportunities for people to transform their own lives. We foster behavioral changes that promote personal responsibility, healthy relationships and positive contributions to society by addressing generational issues of poverty, unemployment, addiction, criminal thinking and homelessness. This is accomplished through programs that provide job training and placement, life skills, mental health and prisoner re-entry services, relapse prevention and sober-living housing for adults and youth in need. "
org13882.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Boy Scouts of America Piedmont Council,"The Piedmont Council's mission is to serve youth by instilling Scouting values preparing them to make ethical choices to achieve their full potential in life. That the purpose of this corporation shall be to promote, through organization and cooperation with other agencies, the ability of boys to do things for themselves and others, to train them in Scoutcraft, and to teach them patriotism, courage, self-reliance, and kindred virtues, using the methods which are now in common use by Boy Scouts. Two kinds of charters are issued by the Boy Scouts of America: one to community organizations and the other to BSA local councils. The first enables community groups to use the Scouting program under their own leadership as a service to their children, youth, and families. The other empowers local councils to help chartered organizations effectively use the Scouting program and to expand the use of the program to other community groups. "
org15116.htm,Human Services : Children's and Family Services,Hiram House Camp,"Founded in 1896, the mission of Hiram House is to enrich the lives of children through camping. We provide the youth of our community with an opportunity to live, play and learn in an environment that is racially, ethnically and socio-economically diverse. Hiram House is committed to promoting family values, building character and opening new horizons for youth. Hiram House Camp offers year-round outdoor education and recreation programs for youth, schools, churches, businesses, civic and other organizations through a variety of Summer Camps, School Camps, and Group Retreats. "
org3473.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Chicago Youth Centers,"Chicago Youth Centers (CYC) is Chicago's largest independent, locally based, multi-site youth services organization. It was founded in 1956 by two visionaries, Chicago businessmen Elliott Donnelley and Sidney Epstein, who wanted young people living in poverty to have an alternative to the streets. CYC invests in youth in underserved communities in Chicago to help them discover and realize their full potential. CYC offers services to children and youth, ages 3-19, in seven neighborhoods (Bridgeport, Grand Boulevard/Bronzeville, Humboldt Park, North Lawndale, South Shore, Riverdale/Altgeld and Roseland) through nine community centers and at CYC-Camp Rosenthal in Dowagiac, Michigan. "
org6567.htm,Human Services : Multipurpose Human Service Organizations,Special Olympics Michigan,"The mission of Special Olympics Michigan is to provide sports training and athletic competition in a variety of Olympic-type sports for the children and adults with intellectual disabilities who live in our state. Athletes are given continuing opportunities to develop physical fitness; demonstrate courage; experience joy; and participate in a sharing of gifts, skills, and friendship with their families, other Special Olympics athletes, and the community. More than 16,000 athletes participate in Special Olympics Michigan programs. Michigan has one of the largest programs in the U.S. Through Special Olympics, athletes gain self-confidence and prove their own capabilities. Special Olympics Michigan is not just training for sports--it's training for life. "
org14980.htm,Human Services : Social Services,Capital IDEA,"Founded in 1999, Capital IDEA offers financial support to adults pursuing higher education. Our mission is to lift working adults out of poverty and into living wage careers through education. Capital IDEA accomplishes this by connecting with local employers and supporting adults in targeted, career oriented fields. We aim to help our participants overcome common barriers that prevent low-income adults from entering skilled occupations. The inability to pay for the necessary education is only one barrier. Other common barriers include a lack of familiarity with college and financial aid systems, and being academically unprepared for college level courses. Our ultimate goal for our participants is employment. "
org13933.htm,Human Services : Children's and Family Services,Pendleton Place,"The mission of Pendleton Place is to keep children safe and support families in crisis through prevention, assessment, and intervention. Pendleton Place is committed to fulfilling our mission and vision through innovative programming. We help children and families through a focus on residential care, supportive community services for teenagers, safe family visitation and custody exchange and comprehensive assessment for children and families in the foster care system. "
org12580.htm,Human Services : Social Services,Furniture Bank of Central Ohio,"Furniture Bank of Central Ohio's Mission is to serve the community by providing free furniture to individuals and families in need. This includes the collection of furniture, mattresses, appliances, and other household items from donors, servicing of clients as referred to the organization by social service agencies, and delivery of items collected to client's homes. "
org14540.htm,Human Services : Homeless Services,"Christian Community Action, Inc.","Christian Community Action is a faith-based ecumenical social services agency in New Haven, Connecticut. Our mission is to provide emergency shelter and transitional housing, food, advocacy and leadership education and training and other support to those who are poor, in particular families that are homeless or at risk of becoming homeless. CCA seeks to encourage these families and individuals in their efforts to attain economic self sufficiency and financial independence and to work with them to change systems that perpetuate unemployment / underemployment, homelessness, hunger, poverty and injustice and to promote community building and social change. "
org11608.htm,Human Services : Children's and Family Services,Casa Teresa,"Since 1976, Casa Teresa has been providing a temporary home and on-going support for pregnant women 18 years of age and older who are alone. Life skills and education programs prepare these women to make loving and informed decisions for themselves and their babies. Casa Teresa has been home to over 5,000 women and children over the past 35 years. They offer high quality training and education programs in the areas of prenatal care and parenting, health and nutrition education tailored to the needs of each resident, all within the security and comfort of a loving and supportive residential setting. Career case management, financial guidance and life skills are stressed, increasing the probability of a successful future for mother and baby.    Our vision is to empower pregnant homeless women 18 years of age and older to achieve life long self sufficiency for themselves and their children. "
org7144.htm,"Human Services : Youth Development, Shelter, and Crisis Services","Boy Scouts of America, National Capital Area Council","The mission of the Boy Scouts of America (BSA) organization is to prepare young people to make ethical and moral choices over their lifetimes by instilling in them the values of the Scout Oath and Law. The National Capital Area Council (NCAC), established in 1910, works to accomplish the mission of the BSA in such an exemplary manner as to be recognized by our public as the premier youth organization in the communities we serve and by other councils and the National Council as second to none in all our endeavors. The NCAC is a class 200 council, (one of the largest) and is geographically comprised of ten counties in Northern Virginia, six counties in Maryland, and the District of Columbia. "
org7653.htm,Human Services : Multipurpose Human Service Organizations,Christian Relief Services Charities,"Incorporated in 1985, Christian Relief Services was founded on the belief that community partnerships are the best way to solve problems related to poverty, both here in the United States and around the world. The mission of Christian Relief Services is to work through partnerships and in collaboration with grassroots charitable organizations to connect the vast resources of the United States with communities in need to enable the people of these communities to help themselves. Through partnerships with local, non-governmental organizations and our affiliates, we provide donations of food, medical supplies, hygiene items, school supplies and building materials to hospitals, clinics, schools, orphanages and refugee camps in several African countries. "
org11335.htm,Human Services : Children's and Family Services,Amigos For Kids,"Amigos For Kids was founded in 1991 to create awareness and obtain support from the burgeoning Hispanic community in South Florida. Today, Amigos For Kids has evolved into a mainstream non-profit and its child abuse prevention message now reaches communities across the country - no matter their ethnicity or native language. Our mission is to prevent child abuse and neglect by valuing children, strengthening families and educating communities. "
org5318.htm,Community Development : Fundraising,Friends of Schlitz Audubon Nature Center,"The Friends of Schlitz Audubon Nature Center is committed to managerial and financial support of the Schlitz Audubon Nature Center. Schlitz Audubon Nature Center is an Audubon environmental education center in Milwaukee, Wisconsin, which was founded in 1971. Schlitz Audubon Nature Center connects people with nature and inspires them to become responsible stewards of the natural world. Located on the shores of Lake Michigan, the Center's six miles of trails take visitors through 185 acres of unspoiled natural beauty - just 15 minutes from downtown Milwaukee. Each year over 27,000 children experience the magic of nature through our nature education programs. More than 145,000 visitors enjoy our unspoiled land for learning, hiking and outdoor recreation. "
org13996.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Boy Scouts of America Sioux Council,"The Boy Scouts of America Sioux Council prepares young people to make ethical and moral choices over their lifetimes by instilling them the values of the Scout Oath. The Sioux Council delivers the nation's foremost youth program of character development and values-based leadership training. Youth are exposed to a variety of activities that stimulate productive use of time, bonding with family and peers, strong connections to citizenship opportunities and positive values. "
org4402.htm,Community Development : Fundraising,Robin Hood Foundation,"Since 1988, the Robin Hood Foundation has targeted poverty in New York City. By applying sound investment principles to philanthropy, we've helped the best programs save lives and change fates. Robin Hood's work comes in many forms. We partner with more than 240 of the best poverty-fighting nonprofit organizations in New York City. We initiate and run projects when we see unmet community needs. And we created and operate a 9/11 Relief Fund. While there is great diversity among these programs, they all have one thing in common: They work. "
org10595.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Boys & Girls Club of Oklahoma County,"Boys & Girls Club of Oklahoma County inspires and enables all young people, especially those who need us most, to realize their full potential as productive, responsible and caring citizens. In every community, boys and girls are left to find their own recreation and companionship in the streets. An increasing number of children are at home with no adult care or supervision. Young people need to know that someone cares about them. The Boys & Girls Clubs of Oklahoma County offer that and more. Club programs and services promote and enhance the development of boys and girls by instilling a sense of competence, usefulness, belonging and influence. "
org6125.htm,Human Services : Social Services,Father Joe's Villages,"Father Joe's Villages is a multi-city homeless rehabilitation organization dedicated to addressing the immediate and ongoing needs of underprivileged children, families and individuals who, for various reasons, have found themselves without basic life necessities. Father Joe's Villages has developed a comprehensive array of programs clients can access to regain their self-sufficiency, including short- and long-term residential accommodations, job-training classes, counseling and chemical-dependency services as well as a full-service medical and dental clinic. Programs include: St. Vincent de Paul Village, Martha's Village & Kitchen, Toussaint Youth Villages, Josue Homes and the National AIDS Foundation, and Padre Luis Jayme International Outreach. "
org11507.htm,Community Development : Fundraising,United Way of Wyandotte County,"The United Way of Wyandotte County is one of nearly 1,400 community-based United Way associations across the United States and is governed by an independent board of 36 local community leaders and volunteers. The money we raise stays in Wyandotte County to support programs operated by non-profit social service agencies based in our community. The United Way of Wyandotte County funds programs that help meet basic needs, nurture children and families, and promote health and quality of life. Community volunteers are today, as always, our greatest asset. Volunteer leadership drives the United Way of Wyandotte County's mission to increase the community's understanding of human needs and mobilize resources to address those needs. "
org5754.htm,Human Services : Homeless Services,Phoenix Rescue Mission,"The Phoenix Rescue Mission was founded in 1952 by six businessmen from the Phoenix area. In the beginning, they ministered to migrant workers and vagrants. Homelessness was not yet a term that was associated with persons who had unfortunate circumstances. The Mission has expanded its services to offer three meals daily, a 24-hour walk in center, showers and clean clothing, up to 150 emergency shelter beds nightly, a 21-bed Residential Addiction Recovery Program, a Career Education Center, Chapel services, and referral information. Hope Coach is a van sent out daily providing lunches, bottled drinks, Christian literature, blankets and a friendly word of encouragement to the homeless on the streets. Last year we:* Provided 11,293 bed-nights of shelter;* Provided 14,503 hours of classroom programming for men in our recovery program;* Served 285,812 meals* Distributed 9,614 cases of water; and* Partnered with 7,364 volunteers. "
org13874.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Boys Clubs & Girls Clubs of Newport County,"The Boys & Girls Clubs of Newport County works to inspire and enable all young people, especially those who need help most, to realize their full potential as productive, responsible and caring citizens. For more than 50 years, we have provided quality programs to children and youth in our community. We provide critical services, including mentoring, academic programming, athletic activities and warm meals, to more than 1,700 members, aged 5-18, annually. "
org13468.htm,Human Services : Social Services,Easter Seals Capper Foundation,"Founded by Senator Arthur Capper in 1920, Easter Seals Capper Foundation provides exceptional individualized services to ensure that people with disabilities and their families have opportunities to live, learn, work and play in their communities. We provides services to children, teenagers and adults with developmental and intellectual disabilities. Services include, Early Intervention, Pediatric Therapies, Recreation, Professional & Family Training, Parent Support, Equipment Loan, Case Management, Residential & Day Services, Supported Employment, Wellness Monitoring and In-Home Supports "
org13852.htm,Human Services : Social Services,Jenesse Center,"The Jenesse Center Inc. provides victims of domestic violence with a comprehensive, centralized base of support to assist them in addressing their immediate crisis and changing the patterns of their lives. We seek to prevent and end the cycles of domestic violence through education, research, resources and advocacy provided to individuals, families, the community and agencies throughout the nation. "
org7951.htm,Community Development : Housing and Neighborhood Development,Regional Plan Association,"Founded in 1922, Regional Plan Association (RPA) is an independent regional planning organization that improves the quality of life and the economic competitiveness of the 31-county New York-New Jersey-Connecticut region through research, planning, and advocacy. For more than 80 years, RPA has been shaping transportation systems, protecting open spaces, and promoting better community design for the region's continued growth. We anticipate the challenges the region will face in the years to come, and we mobilize the region's civic, business, and government sectors to take action. RPA's current work is focused in five project areas: community design, open space, transportation, workforce and the economy, and housing. "
org11105.htm,Human Services : Children's and Family Services,ALIVE!,"ALIVE! (ALexandrians InVolved Ecumenically) is a 501(c)3 nonprofit organization of volunteers from over 40 religious congregations and the community working together to help those in need in Alexandria, Virginia. Founded in 1969, ALIVE! is the largest private safety net for the needy in the city of Alexandria, addressing short-term to long-term needs for those less fortunate in the community. ALIVE! serves thousands Alexandrians annually with shelter; low-cost early childhood education and childcare; financial help for rent, utilities, medical care and other critical needs; emergency food; and deliveries of donated furniture and houseware. "
org10808.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Boys & Girls Clubs of Snohomish County,"The Boys & Girls Clubs of Snohomish County is a non-profit organization providing young people ages 5-18 with a safe and positive place to spend their time before and after school and in the summer. We have 19 Clubs and 15 extension sites that provide programs that help nearly 17,000 youth achieve academic success, live healthy and active lifestyles, and develop good character and leadership skills. Clubs are strategically located in neighborhoods and are accessible to all kids. Since 1946, the Boys & Girls Clubs of Snohomish County has been helping kids from tough neighborhoods stay out of trouble, stay in school and succeed in life. "
org14928.htm,Community Development : Fundraising,United Way of St. Clair County,The United Way of St. Clair County is a volunteer organization dedicated to providing health and human services to the residents of the community. Our mission is to mobilize the community of St. Clair County to raise funds and/or resources to meet identified human service needs with the highest level of accountability and community involvement. 
org13949.htm,Community Development : Fundraising,United Way for Jackson & George Counties,"For nearly half a century, United Way for Jackson & George Counties (UWJGC) has led the way for community caring in Southeast Mississippi. Today, your local United Way funds 21 member agencies and programs. Additional funding opportunities for human services agencies are available through our Community Impact program. UWJGC also provides gifts-in-kind, specialized training and consultation to a host of local public and private non-profit social service agencies. "
org12398.htm,Human Services : Homeless Services,Hiway 80 Rescue Mission Ministries,"Founded in 1955, Hiway 80 Rescue Mission Ministries has been reaching out and touching lives for over 50 years. We are commissioned by our Lord to help the poor and needy not only when it is convenient, but when the needs arise. Therefore, in our community of East Texas, we hear the cries of the alcoholics, drug addicts and the battered single women or mothers that do not have an advocate. Hiway 80 Rescue Mission continues to provide emergency shelter for men, women and families who are homeless and in need of help. "
org8167.htm,"Human Services : Food Banks, Food Pantries, and Food Distribution",Montgomery Area Food Bank,"The mission of the Montgomery Area Food Bank is to nourish the hungry by educating and mobilizing the community, engaging in partnerships that advance self-sufficiency, and gathering then distributing food and other necessities across 35 Alabama counties.MAFB is a non-profit, 501(c)(3) organization devoted to doing all possible to minimize hunger and food insecurity throughout 35 Alabama counties. Poverty in Alabama is rooted in history and deeply entrenched in the communities we serve. Of the 35 counties served by the MAFB, 11 are considered part of the ""Black Belt""- counties that are historically among the poorest in the nation. However, pervasive poverty affects nearly all the communities we serve.  Each year, we reach out to more than 330,000 hungry Alabamians. Those we serve include children (40%), seniors (20%), and others (40%) including the newly unemployed, low-pay working families, the homeless, and disaster victims, among others. "
org5576.htm,Community Development : Fundraising,Mount Sinai Medical Center Foundation,"To meet the public's expectation for great medicine, regardless of a patient's ability to pay, Mount Sinai Medical Center Foundation preserves the hospital's rich tradition of philanthropy and community support. Mount Sinai Medical Center Foundation raises funds to support Mount Sinai Medical Center, an acute care teaching and research facility. Mount Sinai Medical Center was founded in 1949 by a group of philanthropists who sought to establish a place where Jewish physicians could freely practice medicine and all persons regardless of race, creed or color could receive high quality medical care. More than five decades later, Mount Sinai continues to provide vital health care services to all citizens. "
org8991.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Boys & Girls Clubs of the Lowcountry,"The Boys & Girls Clubs of the Lowcountry began in the mid-1980s when a group of Beaufort County residents came together to find a solution for the lack of structured, positive activities for the community's children. The mission of the Boys & Girls Club in the Lowcountry and in every corner of the United States is ""to enable all young people, especially those who need us most, to reach their full potential as productive, caring, responsible citizens."" Great futures start everyday at the Boys & Girls Clubs of the Lowcountry. The organization operates five (5) clubs in Beaufort and Jasper Counties. Nearly 2,000 members, ages 6 -18 years old, belong to the Boys & Girls Clubs of the Lowcountry. "
org11939.htm,Human Services : Homeless Services,Religious Community Services,"Religious Community Services' (RCS) mission is to feed the hungry, help families facing homelessness return to self-sufficiency, and empower survivors of domestic violence. RCS directs resources to people facing hunger, homelessness, domestic violence and a lack of basic needs. RCS has evolved into a cooperative of professional staff members, integral volunteers and partnering faith congregations delivering reliable services to those most vulnerable in Pinellas County. RCS continues to use research, communication and best practices to be a premier community based agency providing help & hope to people in need. "
org10992.htm,Human Services : Children's and Family Services,Samaritan Center for Young Boys and Families,"Founded in 1968, the Samaritan Center for Young Boys and Families is a rural home campus for boys ages 7-12, located in Stuart, on the East Coast of South Florida. Boys live in disciplined home environments with a Christian houseparent family, pursue their academic needs in our on-site private school, and have a chance to become well-directed and productive citizens. The Samaritan Center gives real hope to tragedy-based or behavior-difficult boys during their critical developmental years. We endeavor to redirect boys behaviorally by offering parameters in which to learn accountability, responsibility, and trust. Through consistent Christian instruction, steady work, correction, and encouragement, the boys develop genuine self-esteem and a firm foundation on which to build good lives. "
org4630.htm,Community Development : Fundraising,United Way of Central Alabama,"Organized in 1923, United Way of Central Alabama is committed to increasing the organized capacity of people to care for one another and to improve their community. Our United Way makes funding decisions based on local priorities. United Way supports agencies and programs that work in this community to strengthen families and individuals. Our focus areas are helping children, youth and families; promoting health and rehabilitation; providing for basic needs and emergencies; and providing counseling and mental health services. "
org13081.htm,Human Services : Social Services,Jobs for the Future,"Jobs for the Future identifies, develops, and promotes new education and workforce strategies that help communities, states, and the nation compete in a global economy. We create strategies and schools that challenge struggling and out-of-school youth through academic acceleration, earning a high school diploma and college- and career-ready skills. We collaborate with 2-year and 4-year colleges to improve graduation rates through effective, efficient ways to educate diverse student populations. We develop practical strategies that help employers, employees, and communities prosper in a 21st-century economy. Across all our work, we inform public officials about policies that enhance educational and economic opportunity for all Americans. "
org4687.htm,Community Development : Fundraising,Valley of the Sun United Way,"Founded in 1925, Valley of the Sun United Way's mission is to improve lives by mobilizing the caring power of our community.    Our vision is to build a caring community where all children and youth succeed, families are self-sufficient, and all people enjoy maximum health and independence.  "
org14881.htm,Human Services : Children's and Family Services,Children's Action Alliance,"Children's Action Alliance (CAA) is an independent voice for Arizona children at the state capitol and in the community. CAA works to improve children's health, education, and security through information and action. Through research, publications, media campaigns, and advocacy, CAA seeks to influence policies and decisions affecting the lives of Arizona children and their families on issues related to health, child abuse and neglect, early care and education, budget and taxes, juvenile justice, children and immigration, and working families. CAA works toward a future in which all children have health insurance, no child is raised in poverty and hunger, every child enters school ready to learn and succeed, no child endures the ravages of abuse and neglect, every child has a place to call home, and struggling teens have the support they need to become responsible adults. "
org6916.htm,Human Services : Social Services,Cleveland Sight Center,"Cleveland Sight Center is a multi-faceted agency founded in 1906 serving people of all ages who are blind or visually impaired. We provide preventative, educational, rehabilitative, and many other vision support services directly to approximately 10,000 clients in the greater Cleveland area each year. Through community outreach and our radio-reading service, that number increases significantly. In addition to our educational and rehabilitative programs, we have a Low Vision Clinic, offer a wide array of social and recreational activities, and have a residential camp, Highbrook Lodge, in Chardon. Our comprehensive services are available to residents of Cuyahoga, Lake, and Geauga counties, with onsite services available to anyone who can travel to Cleveland Sight Center's University Circle location. "
org11435.htm,"Human Services : Youth Development, Shelter, and Crisis Services",Boys & Girls Club of Hollywood,"Every day, The Boys & Girls Club of Hollywood strives to improve each child's life by instilling self-esteem, courage, and positive values through all of our educational programs. Our youth come to The Club to receive tutoring, homework assistance, computer training, mentoring, fine arts, athletics, social recreation and so much more. Our members gain confidence by developing a sense of usefulness, competence and belonging. Our goal is to provide every child with the essential tools needed for a successful and bright future. Since 1937, the vision of The Boys & Girls Club has grown and changed with the needs of our children and their families. As the needs continue to change, so will the dynamics of our programs and services. "
org11684.htm,Community Development : Housing and Neighborhood Development,Community Services League,"Community Services League's mission is to assist communities in reaching their potential by providing immediate relief to people in need, assessing their situations, and providing solutions that lead to economic stability. Our values serve as a compass for our actions and describe how we behave in the world. CSL's vision guides every aspect of its business by describing what it needs to accomplish in order to provide sustainable quality services that help individuals and communities reach their potential by lifting people to economic stability. "
